2068,612,539,6236,5549,619
3373,5587,1123,888,614,3274
1719,5234,2911,2186,5338,2363
6189,3872,611,4472,4505,4242
3455,2988,620,1418,1731,2421
623,1895,1629,1111,4541,5569
2534,116,3872,4538,5587,2911
2068,1123,2186,620,614,611
623,5569,3274,619,4472,1731
3455,539,4538,6189,4242,1111
1719,612,1895,1629,116,888
2988,2534,6263,2363,5549,5243
4505,5338,2421,4541,1418,3373
5569,619,4538,620,1731,5587
1895,614,1123,623,1111,612
2363,3455,4505,3274,2186,5549
6236,4541,116,2534,4472,611
5243,888,6189,2421,2068,2988
3373,1629,539,2911,1418,3872
4242,5338,623,1719,620,3274
1731,2068,888,619,1111,4505
2363,3373,2988,3872,2421,6236
4541,1123,2911,1418,3455,611
2186,612,4242,4538,5338,2534
614,4472,539,5243,1895,5587
5569,1629,5549,116,6189,1719
1111,2363,3872,620,2186,6236
2988,4242,5243,1895,619,1418
6189,4541,4505,5549,612,5338
2534,888,5569,1123,4538,1629
1719,623,3373,4472,3455,5587
1731,116,611,614,2068,2911
2421,4541,888,539,3274,4242
3872,1629,2186,5243,1123,620
4538,614,4505,1719,619,6236
1111,5587,3274,2911,611,5549
2421,3373,6189,116,623,2068
539,5338,2988,1418,4472,5569
3455,1895,1731,2534,612,2363
611,619,2189,888,3373,3872
6236,5338,4472,620,2421,4538
6189,5549,1731,614,612,5243
2534,4541,2068,1111,1719,2988
539,2911,116,1123,3455,623
4242,1895,2363,5587,4505,5569
1418,3274,6189,1629,2534,1111
2911,2421,619,4541,3872,1719
5243,3373,2636,4242,1123,5569
5587,611,2068,3455,1629,612
5338,620,116,4505,539,888
5549,623,614,4538,2363,1418
1895,3274,4472,2988,1731,2186
5587,1719,888,5243,611,4541
614,5569,2421,2534,623,2911
4505,3872,1123,2068,4242,5549
539,2189,6189,1731,1629,6236
1418,620,612,3274,619,116
1895,2988,4538,5338,3455,3373
1111,4472,2068,2363,888,1123
539,1418,5587,1719,2186,4505
2911,3274,3455,5569,6189,6236
2363,623,611,3872,612,2988
1111,4538,116,4472,5243,2421
5338,1731,614,4541,1629,4242
620,5549,619,3373,2534,1895
623,5243,4505,2186,3455,2421
4538,4541,3274,2068,1629,2363
4242,620,888,6189,612,2911
614,619,3872,5338,611,5569
6236,1123,1111,116,5587,2988
4472,5549,3373,2534,539,1731
1719,1418,2068,1895,620,4541
5587,2363,619,5338,6189,1123
6236,4242,4538,888,2186,623
2911,4472,1629,4505,2988,5549
2534,3455,1719,614,3373,1111
5243,1418,116,3872,3274,1731
611,2421,612,5569,1895,539
